USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   11009924   5336 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [rcu_par_gp]
root             8     2          0      0 0                   0 I [mm_percpu_wq]
root            10     2          0      0 0                   0 S [rcu_tasks_kthre]
root            11     2          0      0 0                   0 S [rcu_tasks_trace]
root            12     2          0      0 0                   0 S [ksoftirqd/0]
root            13     2          0      0 0                   0 I [rcu_preempt]
root            14     2          0      0 0                   0 S [rcub/0]
root            15     2          0      0 0                   0 S [rcuc/0]
root            16     2          0      0 0                   0 S [migration/0]
root            17     2          0      0 0                   0 S [cpuhp/0]
root            18     2          0      0 0                   0 S [cpuhp/1]
root            19     2          0      0 0                   0 S [migration/1]
root            20     2          0      0 0                   0 S [rcuc/1]
root            21     2          0      0 0                   0 S [ksoftirqd/1]
root            24     2          0      0 0                   0 S [cpuhp/2]
root            25     2          0      0 0                   0 S [migration/2]
root            26     2          0      0 0                   0 S [rcuc/2]
root            27     2          0      0 0                   0 S [ksoftirqd/2]
root            30     2          0      0 0                   0 S [cpuhp/3]
root            31     2          0      0 0                   0 S [migration/3]
root            32     2          0      0 0                   0 S [rcuc/3]
root            33     2          0      0 0                   0 S [ksoftirqd/3]
root            36     2          0      0 0                   0 S [cpuhp/4]
root            37     2          0      0 0                   0 S [migration/4]
root            38     2          0      0 0                   0 S [rcuc/4]
root            39     2          0      0 0                   0 S [ksoftirqd/4]
root            42     2          0      0 0                   0 S [cpuhp/5]
root            43     2          0      0 0                   0 S [migration/5]
root            44     2          0      0 0                   0 S [rcuc/5]
root            45     2          0      0 0                   0 S [ksoftirqd/5]
root            48     2          0      0 0                   0 S [cpuhp/6]
root            49     2          0      0 0                   0 S [migration/6]
root            50     2          0      0 0                   0 S [rcuc/6]
root            51     2          0      0 0                   0 S [ksoftirqd/6]
root            54     2          0      0 0                   0 S [cpuhp/7]
root            55     2          0      0 0                   0 S [migration/7]
root            56     2          0      0 0                   0 S [rcuc/7]
root            57     2          0      0 0                   0 S [ksoftirqd/7]
root            60     2          0      0 0                   0 I [netns]
root            69     2          0      0 0                   0 S [kauditd]
root            70     2          0      0 0                   0 S [khungtaskd]
root            71     2          0      0 0                   0 S [oom_reaper]
root            72     2          0      0 0                   0 I [writeback]
root            73     2          0      0 0                   0 S [kcompactd0]
root           117     2          0      0 0                   0 I [kblockd]
root           118     2          0      0 0                   0 I [blkcg_punt_bio]
root           119     2          0      0 0                   0 I [edac-poller]
root           120     2          0      0 0                   0 I [devfreq_wq]
root           121     2          0      0 0                   0 S [watchdogd]
root           143     2          0      0 0                   0 S [kswapd0]
root           145     2          0      0 0                   0 S [erofs_worker/0]
root           154     2          0      0 0                   0 S [dmabuf-deferred]
root           155     2          0      0 0                   0 I [uas]
root           156     2          0      0 0                   0 I [dm_bufio_cache]
root           157     2          0      0 0                   0 I [ipv6_addrconf]
root           159     2          0      0 0                   0 S [krfcommd]
root           162     2          0      0 0                   0 S [irq/42-amms_irq]
root           164     2          0      0 0                   0 D [hang_detect]
root           165     2          0      0 0                   0 S [hang_detect1]
root           166     2          0      0 0                   0 I [mt-wdk]
root           167     2          0      0 0                   0 D [wdtk-0]
root           168     2          0      0 0                   0 D [wdtk-1]
root           169     2          0      0 0                   0 D [wdtk-2]
root           170     2          0      0 0                   0 D [wdtk-3]
root           171     2          0      0 0                   0 D [wdtk-4]
root           172     2          0      0 0                   0 D [wdtk-5]
root           173     2          0      0 0                   0 D [wdtk-6]
root           174     2          0      0 0                   0 D [wdtk-7]
root           175     2          0      0 0                   0 S [hwrng]
root           179     2          0      0 0                   0 S [irq/284-mt6358-]
root           181     2          0      0 0                   0 S [hps_main]
root           183     2          0      0 0                   0 S [cmdq_irq_thread]
root           184     2          0      0 0                   0 I [cmdq_buf_dump]
root           185     2          0      0 0                   0 I [cmdq_timeout_ha]
root           186     2          0      0 0                   0 I [cmdq_vcp_power_]
root           187     2          0      0 0                   0 I [cmdq_pkt_destro]
root           188     2          0      0 0                   0 S [gamma_sof]
root           189     2          0      0 0                   0 I [aal_flip_sram]
root           190     2          0      0 0                   0 I [aal_refresh_tri]
root           191     2          0      0 0                   0 S [aal_sof]
root           192     2          0      0 0                   0 I [dither_pure_det]
root           193     2          0      0 0                   0 I [regulator_vibra]
root           194     2          0      0 0                   0 S [tee_log]
root           195     2          0      0 0                   0 D [tee_irq_bh]
root           196     2          0      0 0                   0 S [tee_worker/0]
root           197     2          0      0 0                   0 S [tee_worker/1]
root           198     2          0      0 0                   0 S [tee_worker/2]
root           199     2          0      0 0                   0 S [tee_worker/3]
root           201     2          0      0 0                   0 R [mmc-swcq0]
root           202     2          0      0 0                   0 S [irq/141-1124000]
root           203     2          0      0 0                   0 I [mtk_btag_uevt]
root           205     2          0      0 0                   0 S [spi0]
root           206     2          0      0 0                   0 S [spi1]
root           207     2          0      0 0                   0 S [spi2]
root           208     2          0      0 0                   0 S [spi3]
root           209     2          0      0 0                   0 S [spi4]
root           211     2          0      0 0                   0 S [spi5]
root           212     2          0      0 0                   0 I [cmdq_flushq]
root           213     2          0      0 0                   0 I [cmdq_flushq]
root           214     2          0      0 0                   0 I [cmdq_flushq]
root           215     2          0      0 0                   0 I [cmdq_flushq]
root           216     2          0      0 0                   0 S [mtk_drm_disp_id]
root           217     2          0      0 0                   0 S [dis_ki-0]
root           218     2          0      0 0                   0 S [enable_vblank]
root           219     2          0      0 0                   0 S [mtk_drm_cwb]
root           220     2          0      0 0                   0 S [disp_echk]
root           221     2          0      0 0                   0 S [mtk_drm_fake_vs]
root           222     2          0      0 0                   0 S [ddp_trig]
root           223     2          0      0 0                   0 S [ddp_trig_d]
root           224     2          0      0 0                   0 S [ddp_cmdq_trig]
root           225     2          0      0 0                   0 S [pf_release_thre]
root           226     2          0      0 0                   0 S [sf_pf_release_t]
root           227     2          0      0 0                   0 I [cmdq_flushq]
root           228     2          0      0 0                   0 S [pf_release_thre]
root           229     2          0      0 0                   0 S [sf_pf_release_t]
root           230     2          0      0 0                   0 I [cmdq_flushq]
root           231     2          0      0 0                   0 S [pf_release_thre]
root           232     2          0      0 0                   0 S [sf_pf_release_t]
root           233     2          0      0 0                   0 S [card0-crtc0]
root           234     2          0      0 0                   0 S [card0-crtc1]
root           235     2          0      0 0                   0 S [card0-crtc2]
root           236     2          0      0 0                   0 S [card0-crtc3]
root           240     2          0      0 0                   0 I [cfg80211]
root           242     2          0      0 0                   0 I [usb20_st_wq]
root           244     2          0      0 0                   0 I [mmc_complete]
root           245     2          0      0 0                   0 S [irq/113-musb-hd]
root           246     2          0      0 0                   0 S [pd_dbg_info]
root           247     2          0      0 0                   0 S [tcpc_timer_type]
root           249     2          0      0 0                   0 S [attach_thread]
root           250     2          0      0 0                   0 I [lbat_service]
root           251     2          0      0 0                   0 S [charger_thread]
root           252     2          0      0 0                   0 I [otg_boost_workq]
root           254     2          0      0 0                   0 I [extcon_usb]
root           258     2          0      0 0                   0 S [jbd2/mmcblk0p7-]
root           259     2          0      0 0                   0 I [ext4-rsv-conver]
root           260     2          0      0 0                   0 I [kdmflush]
root           261     2          0      0 0                   0 I [kdmflush]
root           262     2          0      0 0                   0 I [kdmflush]
root           263     2          0      0 0                   0 I [kdmflush]
root           264     2          0      0 0                   0 I [kdmflush]
root           265     2          0      0 0                   0 I [kdmflush]
root           266     2          0      0 0                   0 I [kdmflush]
root           267     2          0      0 0                   0 I [kdmflush]
root           268     2          0      0 0                   0 I [kdmflush]
root           269     2          0      0 0                   0 I [kverityd]
root           271     2          0      0 0                   0 I [ext4-rsv-conver]
root           272     2          0      0 0                   0 I [kdmflush]
root           273     2          0      0 0                   0 I [kverityd]
root           275     2          0      0 0                   0 I [ext4-rsv-conver]
root           278     2          0      0 0                   0 I [kdmflush]
root           279     2          0      0 0                   0 I [kverityd]
root           280     2          0      0 0                   0 I [ext4-rsv-conver]
root           281     2          0      0 0                   0 I [kdmflush]
root           282     2          0      0 0                   0 I [kverityd]
root           284     2          0      0 0                   0 I [ext4-rsv-conver]
root           288     1   10852324   3324 0                   0 S init
root           289     1   10895376   3752 0                   0 S ueventd
root           300     2          0      0 0                   0 I [kdmflush]
root           301     2          0      0 0                   0 I [kdmflush]
root           304     2          0      0 0                   0 I [kdmflush]
root           308     2          0      0 0                   0 I [kdmflush]
root           310     2          0      0 0                   0 I [kdmflush]
root           311     2          0      0 0                   0 I [kdmflush]
root           312     2          0      0 0                   0 I [kdmflush]
root           313     2          0      0 0                   0 I [kdmflush]
root           315     2          0      0 0                   0 I [kdmflush]
root           319     2          0      0 0                   0 I [kdmflush]
root           320     2          0      0 0                   0 I [kdmflush]
root           322     2          0      0 0                   0 I [kdmflush]
root           323     2          0      0 0                   0 I [kdmflush]
root           324     2          0      0 0                   0 I [kdmflush]
root           325     2          0      0 0                   0 I [kdmflush]
root           326     2          0      0 0                   0 I [kdmflush]
root           327     2          0      0 0                   0 I [kdmflush]
root           329     2          0      0 0                   0 I [kdmflush]
root           330     2          0      0 0                   0 I [kdmflush]
root           331     2          0      0 0                   0 I [kdmflush]
root           332     2          0      0 0                   0 I [kdmflush]
root           333     2          0      0 0                   0 I [kdmflush]
root           334     2          0      0 0                   0 I [kdmflush]
root           335     2          0      0 0                   0 I [kdmflush]
root           342     2          0      0 0                   0 S [loop0]
root           343     2          0      0 0                   0 S [loop1]
root           344     2          0      0 0                   0 S [loop2]
root           345     2          0      0 0                   0 S [loop3]
root           346     2          0      0 0                   0 S [loop4]
root           347     2          0      0 0                   0 I [ext4-rsv-conver]
root           348     2          0      0 0                   0 I [ext4-rsv-conver]
root           349     2          0      0 0                   0 I [ext4-rsv-conver]
root           351     2          0      0 0                   0 I [ext4-rsv-conver]
